Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
YES,ONCE A WEEK,GOOD,I USE IT TO PLAY TENNIS AND YOU CAN LISTEN TO THE MUSIC PRETTY WELL,5,4,2,1,3,6,BOSE,3,3,2,3,5,2,1,4,IF I DIDN’T HAVE TO PUT THE VOLUME VERY HIGH IN ORDER TO LISTEN,LISTENING TO MUSIC,NOT BEING ABLE TO GO PLAY TENIS,$50 TO $100,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),IF IT’S MORE THAN 50 TOO EXPENSIVE,18-24,MALE,PREFER NOT TO SAY,NO,No
YES,DAILY,EXCELLENT,QUALITY SOUND AND LONGEVITY  ,1,4,6,3,5,2,BEATS,2,2,1,3,3,2,1,5,SOFTER CUSHIONS OR IN ANY WAY MAKE IT MORE A BIT MORE COMFORTABLE TO WEAR,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",BASED ON QUALITY AND LONGEVITY ,18-24,FEMALE,"$75,000-$100,000",N/A,N/A
YES,1-3 TIMES A MONTH,GOOD,IT ISN’T STATIC AND CAN GO VERY LOUD ,6,5,1,3,2,4,"BOSE, JBL",2,4,4,3,4,2,2,4,BATTERY LIFE IS SHORT,LISTENING TO MUSIC,WORKING FROM HOME MORE,$100 TO $200,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"I READ CUSTOMER REVIEWS, LOOK INTO BRAND REPUTATION, COMPARE WITH COMPETITOR PRICES AND DECIDE BASED ON THAT",18-24,FEMALE,"$25,000-$50,000",N/A,n/a
YES,1-3 TIMES A MONTH,AVERAGE,ITS A PRETTY OLD SPEAKER MODEL SO IT IS NOT THE HIGHEST QUALITY BY TODAY'S STANDARDS,2,3,4,1,5,6,IHOME,3,2,5,4,5,1,4,3,A NEWER MODEL,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, HOME WORKOUTS",$50 TO $100,4,BRAND WEBSITES,N/A,18-24,FEMALE,"$50,000-$75,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,NOT THAT LOUD AND UGLY COLOR ,6,5,3,2,1,4,"BOSE, GOOGLE ",2,5,4,4,4,3,2,2,"BIGGER, BETTER DESIGN , LOUDER SOUND, PINK MAYBE  ",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE CHEAPEST I CAN FIND ,18-24,FEMALE,"$25,000-$50,000",NOT TM ON MY LOW INCOME ,not tm on my low income 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,IT IS VERY EASY TO UNDERSTAND WORDS AND APPRECIATE MUSIC PRODUCTION ,5,6,1,4,3,2,"JBL, SONY",2,2,4,4,3,5,2,5,TO HAVE A LOUDER SOUND,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS",$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARE TO THE OTHERS IN THE MARKET ,18-24,FEMALE,"$25,000-$50,000",THANK YOU,thank you
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,HONESTLY MY CURRENT SPEAKER IS NOT GREAT AT ALL. IT’S A RANDOM BRAND AND THE SOUND QUALITY COULD BE BETTER,6,2,1,3,5,4,"JBL, SONOS",3,4,2,5,4,1,1,2,A COMPLETELY NEW ONE BY A TRUSTED BRAND WITH LOUD SOUND AND EASE OF USE,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF THE PRICE REPRESENTS THE FEATURES AND QUALITY OF THE SPEAKER I WILL GET JT,18-24,FEMALE,PREFER NOT TO SAY,NO,No
YES,ONCE A WEEK,GOOD,I LIKE THE QUALITY BECAUSE IT'S SMALL AND I CAN LISTEN TO MUSIC PERFECTLY ANYWHERE,5,4,1,2,3,6,"JBL, SONY",1,1,1,3,5,1,1,4,"MAYBE IF IT WAS WATERPROOF, AND MORE DURABLE BATTERY",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE PRICE SHOULD BE EQUIVALENT TO THE PRODUCT QUALITY I'M GETTING. ,18-24,FEMALE,"LESS THAN $25,000",NONE,None
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,IT DOESN’T SOUND BAD SO I WOULD SAY IT’S GOOD,5,4,2,6,1,3,"BOSE, JBL, SONY",3,1,1,5,3,5,3,5,IT IT WAS POUNDER AND EASIER TO TRAVEL WITH,WATCHING MOVIES/TV SHOWS,NO,- MORE THAN $300,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF THE SPEAKER DOES WHAT I NEED IT TO AND MORE I BELIEVE THE PRICE WILL BE WORTH IT,18-24,MALE,PREFER NOT TO SAY,NOPE,Nope
YES,SEVERAL TIMES A WEEK,GOOD,THE SOUND COMES OUT CLEAR AND LOUD,5,6,4,3,2,1,JBL,5,3,4,5,5,5,2,5,LONGER BATTERY,LISTENING TO MUSIC,N/A,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",N/A,18-24,FEMALE,"MORE THAN $100,000",N/A,N/a
YES,DAILY,GOOD,"I HAVE AN ECHO DOT & EVEN THOUGH IT’S MORE OF A HOME AI HELPER, THE SOUND QUALITY FOR WHEN PLAYING MUSIC IS FAIRLY WELL. ",6,1,3,4,2,5,"BOSE, JBL, SONY, APPLE, AMAZON ECHO DOT",1,2,4,3,3,4,2,4,BETTER AUDIO QUALITY IN TERMS OF A CLEARER/MORE CRISP SOUND,"LISTENING TO MUSIC, BACKGROUND NOISE",N/A,$50 TO $100,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I LIKE TO COMPARE THE QUALITY AND FUNCTIONS OF THE SPEAKER TO THE PRICE. IF I FEEL THE QUALITY & FEATURES ARE JUSTIFIABLE TO THE PRICE THEN I CONSIDER MAKING THE PURCHASE. ,18-24,MALE,PREFER NOT TO SAY,NA,Na
YES,DAILY,EXCELLENT, ,6,5,2,4,1,3,JBL,1,4,5,5,3,3,2,5,BATTERY LIFE,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$100 TO $200,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",DEPENDS ON THE FEATURES I NEED AT THE TIME,18-24,FEMALE,PREFER NOT TO SAY,TOO LONG,TOO LONG
YES,DAILY,EXCELLENT,WIDE RANGE OF SOUND AND ALLOWS FOR CONNECTIVITY WITH MULTIPLE SPEAKERS. ,6,4,2,1,5,3,JBL,4,4,4,4,4,4,4,5,LONGER BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",SPENDING MORE TIME AT HOME,$50 TO $100,1,BRAND WEBSITES,COMPARING TO OTHER SPEAKERS AND FUNCTIONALITY,18-24,FEMALE,"LESS THAN $25,000",NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,THE SOUND GETS PRETTY LOUD WHICH IS GREAT FOR ME SINCE I BARELY USE IT,5,4,1,2,3,6,BOSE,1,1,1,1,4,4,5,4,IF IT WAS SURROUND SOUND,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",LESS THAN $50,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I NEED A SPEAKER THAT IS ON THE CHEAPER SIDE BUT STILL WORKS GREAT,18-24,FEMALE,"$50,000-$75,000",N/A,n/a
YES,DAILY,GOOD,NOT AS LOUD AS DESIRED ,6,5,4,3,2,1,JBL,4,2,2,3,3,4,3,5,BETTER BATTERY LIFE AND LOUDER SOUND,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,3,BRAND WEBSITES,SPECIFIC QUALITIES IN COMPARISON TO OTHERS ,18-24,FEMALE,PREFER NOT TO SAY, , 
YES,SEVERAL TIMES A WEEK,GOOD,IT COULD BE LOUDER ,6,5,1,2,4,3,JBL,2,3,2,4,4,2,3,4,"LOUDER, CLEARER",LISTENING TO MUSIC,WORKING FROM HOME MORE,$100 TO $200,5,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),COMPARING TO OTHER BRANDS WITH SIMILAR FEATURES ,18-24,FEMALE,"$50,000-$75,000",GREAT SURVEY!,Great survey!
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,THE SOUND IS GOOD BUT I WISH IT DOES NOT GET AS LOUD AS I WOULD LIKE ,6,4,1,5,2,3,SONY,2,2,2,4,4,4,3,3,BETTER SOUND QUALITY AND BATTERY LIFE ,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",HOME WORKOUTS,$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I EVALUATE THE BRAND AND FEATURES. ALSO LOOK AT REVIEWS TO SEE IF THE PRICE IS WORTH WHAT I AM GETTING ,18-24,FEMALE,PREFER NOT TO SAY,NONE ,None 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,IT’S LOUD ENOUGH FOR A HOUSE PARTY WHICH IS MOST OF THE TIME THAT I USE IT,2,3,1,4,5,6,JBL,4,3,3,4,5,3,3,4,EASIER TO CONNECT TO OTHER SPEAKERS,LISTENING TO MUSIC,NO,$50 TO $100,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",PRICE AND DURABILITY ,18-24,FEMALE,"$75,000-$100,000",N/A,n/a
YES,ONCE A WEEK,GOOD,"I HAVE A SMALL SPEAKER THAT I USE WHENEVER FRIENDS COME OVER, BECAUSE IT IS REALLY CONVENIENT FOR SOME BACKGROUND MUSIC. I PROBABLY WOULD'T USE IT IF I NEEDED A SPEAKER FOR A BIG EVENT, BECAUSE IT IS NOT THE MOST POWERFUL. THE SOUND QUALITY IS NICE, BUT BATTERY DOES DIE PRETTY QUICKLY.",1,3,6,4,5,2,I DON'T KNOW THE BRAND.,5,4,4,3,5,3,2,4,"THE BATTERY DIES PRETTY QUICKLY, SO A LONGER BATTERY LIFE WOULD MAKE MY WIRELESS SPEAKER A LOT BETTER.",LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"I HAVEN'T BOUGHT ONE IN A LONG TIME, SO I WOULD LIKELY COMPARE THE PRICE OF THE SPEAKER TO THE ONE I ALREADY OWN. ",18-24,FEMALE,PREFER NOT TO SAY,NO EXTRA COMMENTS!,No extra comments!
YES,SEVERAL TIMES A WEEK,GOOD,"GOOD, IT AT TIMES HAS AN ECHO OR BUZZ SOUND WHEN CONNECT TO A MICROPHONE",6,5,1,4,2,3,"BOSE, JBL",4,2,2,4,5,4,1,4,"SMALLER FOR SURE CAUSE IT'S MASSIVE, SO A POWERFUL AND CLEAN SOUND WHILE THE MACHINE BEING CONDENSED AND PORTABLE NOT HEAVY.","LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$200 TO $300,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"COMPARE PRICES TO OTHER ONES AND SEEING SIZE, AND AUDIO QUALITY.",18-24,MALE,"$25,000-$50,000",NONE,none
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,"IT’S GOOD ENOUGH, THE SOUND QUALITY ISN’T AS CLEAR IS MY ACTUAL PHONE SPEAKER, SO I USUALLY JUST OPT TO BLAST MY PHONE VOLUME.",1,2,5,6,3,4,DOSS,4,3,3,5,4,5,3,2,"SOUND QUALITY, PORTABILITY, EASE OF CONNECTIVITY",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,4,BRAND WEBSITES,I WOULD SPEND A LARGER AMOUNT OF MONEY IF I FEEL LIKE I WOULD BE GETTING MY MONEYS WORTH. YOU GET WHAT YOU PAY FOR.,18-24,FEMALE,"$50,000-$75,000","OTHER FACTORS TO CONSIDER: WATER RESISTANT/PROOF, CONVENIENCE (WRIST STRAPS/HANDLE GRIP), BEING ABLE TO EASILY CONNECT AND DISCONNECT FOR OTHERS TO USE, WARRANTY, BASS BOOSTING","other factors to consider: water resistant/proof, convenience (wrist straps/handle grip), being able to easily connect and disconnect for others to use, warranty, bass boosting"
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,10 OUT OF 10 ,2,5,1,6,3,4,"BOSE, JBL",5,4,5,4,5,4,3,5,THE BATTERY LIFE ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE QUALITY AND PERFORMANCE ,18-24,FEMALE,"$50,000-$75,000","GREAT, SURVEY! IM LOOKING FOR A WIRELESS SPEAKER FOR MY TV ","Great, survey! Im looking for a wireless speaker for my TV "
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,EXPENSIVE = GOOD,6,5,4,3,1,2,"BOSE, JBL, SAMSUNG, MARSHALL, SONY",2,3,4,5,3,3,1,4,NOTHING,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",- MORE THAN $300,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF THE QUALITY IS GOOD THEN ITS WORTH THE PRICE.,18-24,MALE,"MORE THAN $100,000",NONE,None
YES,RARELY (FEWER THAN ONCE A MONTH),AVERAGE,IT'S FUNCTIONAL AND SOUNDS DECENT.,5,3,4,1,6,2,"JBL, SONY, GENERIC",4,5,1,3,5,3,2,4,"REDUCED SIZE AND WEIGHT (TO BE MORE PORTABLE), WATERPROOFING","LISTENING TO MUSIC, GAMING","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"BRAND NAME CARRIES VALUE (SO I BUY GENERIC), WHETHER THE FEATURES ARE WORTH THE AMOUNT BEING CHARGED, COMPARE TO OTHER SIMILAR PRODUCTS ONLINE",18-24,NON-BINARY/THIRD GENDER,"MORE THAN $100,000",N/A,N/A
YES,1-3 TIMES A MONTH,EXCELLENT,HITS ALL RANGES VERY WELL GOOD BASS GOOD TREBLE ,5,3,2,1,4,6,"BOSE, JBL, SONY",4,3,4,4,5,2,2,5,BATTERY LIFE,LISTENING TO MUSIC,NO,$100 TO $200,1,BRAND WEBSITES,USE + QUALITY/PRICE,18-24,MALE,"$50,000-$75,000",NO,no
YES,SEVERAL TIMES A WEEK,AVERAGE,"ITS JUST AVERAGE, IT DOESNT SOUND SUPER AMAZING BUT IT GETS THE JOB DONE WHEN IM USING IT WHILE SHOWERING ARE OTHER DAILY TASKS.",3,2,1,4,5,6,"BOSE, JBL, SONY",2,5,5,4,5,3,2,3,MY SPEAKER WOULD BE BETTER IF I COULD USE IT LIKE AN ALEXA,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","THE PRICE NEEDS TO MATCH ITS QUALITY. IF IT SOUNDS WHATEVER BUT HAS DECENT FEATURES IT SHOULDNT COST TOO MUCH,",18-24,MALE,PREFER NOT TO SAY,NONE,none
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,"CONNECTED TO A RECORD PLAYER, SOUND QUALITY COULD BE BETTER",4,3,6,2,5,1,"BOSE, JBL, SAMSUNG",4,4,3,4,5,5,2,5,SOUND QUALITY,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",LESS THAN $50,2,"SECONDHAND, FACEBOOK MARKETPKAXE","THINK ABOUT MY CURRENT BUDGET AND HOW MUCH I AM WILLING TO INVEST, AS SOMEBODY WHO DOESN’T LISTEN TO MUSIC SUPER OFTEN. MY CURRENT SPEAKER WAS BOUGHT SECONDHAND, AND THE TRADEOFF WAS PRICE OVER SOUND QUALITY OR EXTRA FEATURES.",18-24,FEMALE,"MORE THAN $100,000",N/A,N/A
YES,DAILY,EXCELLENT,"GOOD BASS, IT CAN GET PRETTY LOUD, DOES EVERYTHING I NEED IT TO DO FOR ITS COMPACT SIZE.",5,2,1,4,3,6,"BOSE, JBL, SONY",3,5,3,4,5,3,1,5,"I DON’T KNOW, IF IT INSTANTLY PUT A BEER IN MY HAND OR SOMETHING.",LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","GOOD PRICE FOR THE QUALITY IS THE MOST IMPORTANT PART FOR ME. WHATEVER I THINK “GOOD” MAY BE REGARDING ITS SIZE, SOUND QUALITY, BATTERY LIFE, BRAND, ETC.",18-24,MALE,"MORE THAN $100,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,AVERAGE,ITS AIGHT,6,5,4,1,3,2,"BOSE, MERKURY",2,4,4,5,4,3,2,4,MORE PORTABLE DESIGN (SMALLER?),"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I LOOK UP REVIEWS ONLINE.,18-24,PREFER NOT TO SAY,PREFER NOT TO SAY,I DONT HAVE ANY EXTRA COMMENTS ,i dont have any extra comments 
YES,ONCE A WEEK,AVERAGE,IT’S DECENT BUT IT CAN HAVE SOME BUZZING OR ROBOTIC NOISES.,1,2,3,4,5,6,"JBL, SONY",3,3,4,4,5,3,3,4,"BETTER NOISE QUALITY, BATTERY LIFE, AND CONNECTIVITY.","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",QUALITY AND BATTERY LIFE,18-24,MALE,"MORE THAN $100,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,IT’S GOOD BUT THERE’S DEFINITELY BETTER OUT THERE,2,4,5,6,3,1,"BOSE, JBL",3,4,5,5,5,4,3,3,I JUST FORGET ABOUT IT AND NEVER USE IT,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",CHEAP BUT WELL KNOWN BRAND,18-24,MALE,"MORE THAN $100,000",:),:)
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,EXCELLENT,I NEVER HAVE ANY ISSUES WITH SOUND QUALITY ,1,3,6,4,5,2,"BOSE, JBL",1,5,4,3,5,3,1,5,I WISH THE BATTERY WOULD LAST A LITTLE LONGER SO I COULD TAKE IT FOR A FULL DAY WITHOUT THE CONCERN THAT IT WOULD DIE ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","I KNOW THAT I DON’T USE IT VERY OFTEN, SO I’M NOT WILLING TO SPEND A LOT OF MONEY. GENERALLY, I’D LOOK FOR SOMETHING UNDER $50. ",18-24,FEMALE,"$25,000-$50,000",N/A,N/A
YES,DAILY,AVERAGE,I LIKE IT,1,2,3,6,4,5,"BOSE, SAMSUNG",1,1,5,2,4,5,1,3,CHEAPER PRICE,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",LOOKS AND CHEAPNESS,18-24,FEMALE,"LESS THAN $25,000",NOPE,nope
YES,1-3 TIMES A MONTH,EXCELLENT,I FEEL IT IS ADEQUATE FOR LARGE SPACES (DANCE REHEARSALS) AND YET STILL IS NOT TOO OVERBEARING FOR SMALL SPACES. ,2,6,1,4,5,3,JBL,2,3,5,4,4,5,1,5,NOTHING ,LISTENING TO MUSIC,MORE ONLINE SOCIAL INTERACTIONS,$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",CHECK REVIEWS AND THINK ABOUT HOW MUCH I’LL REALLY USE IT. ,18-24,FEMALE,"MORE THAN $100,000",THANK YOU!,Thank you!
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
